"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"O'Hearn, Ryan",656811,4.0457727439386755,4.0457727439386755,4.530682110635881,-0.11089340176920369,-0.3740159649280031,,,,,5797,0,4380,0,0,0,247,0,1170
"Lowe, Nathaniel",663993,3.999190923707814,3.999190923707814,3.8127008024579343,,0.18649012124987824,,,,,11515,0,11515,0,0,0,0,0,0
"Cruz, Oneil",665833,3.9078981554084424,3.9078981554084424,-0.44500414220492757,3.616782078141013,0.7361202194723585,,,,,6863,0,0,0,0,3094,0,3769,0
"Lewis, Royce",668904,3.6999231323629465,3.6999231323629465,2.429664492515086,-0.02286794008989439,1.2931265799377551,,,,,4990,0,0,24,4963,3,0,0,0
"Naylor, Josh",647304,3.689094805271154,3.689094805271154,5.010192865469875,,-1.3210980601987252,,,,,9143,0,9140,0,0,0,0,0,3
"Horwitz, Spencer",687462,3.625436521531903,3.625436521531903,2.546555789509118,,1.0788807320227867,,,,,4381,0,3499,882,0,0,0,0,0
"Mullins, Cedric",656775,3.545850131125574,3.545850131125574,10.502729094660008,-6.956878963534434,,,,,,9199,0,0,0,0,0,0,9199,0
"Volpe, Anthony",683011,3.433467991242366,3.433467991242366,6.0843529235178035,0.5697082842238373,-3.220593216499274,,,,,12201,0,0,0,0,12201,0,0,0
"Drury, Brandon",592273,3.325511075352742,3.325511075352742,2.470733880190419,1.1623047209094257,-0.30752752574710385,,,,,4945,0,1169,3407,369,0,0,0,0
"Farmer, Kyle",571657,3.253351557386541,3.253351557386541,1.2431649384073549,0.4833482713909212,1.5268383475882674,,,,,5646,0,431,2475,1491,1228,6,0,0
"McNeil, Jeff",643446,3.2443371338757423,3.2443371338757423,3.9967811111084437,-1.3755905393905794,0.6231465621578787,,,,,9755,0,9,6813,0,3,1039,675,1216
"Pérez, Wenceel",672761,3.2219617812412538,3.2219617812412538,5.727850896990582,-2.505889115749326,,,,,,4991,0,0,0,0,0,87,1087,3817
"McCarthy, Jake",664983,3.206667404402412,3.206667404402412,7.3141326127267865,-4.107465208324377,,,,,,6726,0,0,0,0,0,1360,2122,3244
"Newman, Kevin",621028,3.0594074193124636,3.0594074193124636,0.6660077379683048,-0.16391770481207232,2.557317386156231,,,,,4560,0,276,1235,1029,1999,9,0,0
"Rodgers, Brendan",663898,3.0184631806143987,3.0184631806143987,-1.2848304229500545,-0.15685974023156793,4.460153343796022,,,,,5254,0,0,5254,0,0,0,0,0
"Yastrzemski, Mike",573262,3.007249508360854,3.007249508360854,-0.8325879641727869,3.8398374725336435,,,,,,8785,0,0,0,0,0,397,1373,7009
"Friedl, TJ",670770,2.6656266810733036,2.6656266810733036,2.6798458812037977,-0.014219200130497156,,,,,,9190,0,0,0,0,0,366,8806,18
"Gonzales, Nick",693304,2.558080036227683,2.558080036227683,4.906207473820918,0.04638603681159635,-2.3945134744048335,,,,,5807,0,0,5087,30,690,0,0,0
"Rocchio, Brayan",677587,2.4267065109093284,2.4267065109093284,-0.39314106858154474,0.008628046742094726,2.811219532748777,,,,,6696,0,0,1255,123,5318,0,0,0
"Jung, Josh",673962,2.391676254664524,2.391676254664524,3.5093370680122775,,-1.1176608133477535,,,,,7467,0,0,0,7467,0,0,0,0
"Schneider, Davis",676914,2.3549229415957518,2.3549229415957518,1.718382560476944,-0.14837368156586817,0.7849140626846742,,,,,4953,0,0,1909,54,0,2990,0,0
"Ward, Taylor",621493,2.3518934965346325,2.3518934965346325,5.879857669304974,-3.5279641727703437,,,,,,10088,0,9,0,0,0,10079,0,0
"Freeman, Freddie",518692,2.3247285876152386,2.3247285876152386,2.260323542484104,-0.13231568681512365,0.19672073194625828,,,,,11663,0,11663,0,0,0,0,0,0
"Butler, Lawrence",671732,1.9870651139792843,1.9870651139792843,2.4979894959199047,-0.5109243819406226,,,,,,7474,0,0,0,0,0,0,2235,5239
"Judge, Aaron",592450,1.9531076636631666,1.9531076636631666,-3.6136624167008935,5.56677008036406,,,,,,7217,0,0,0,0,0,120,3111,3986
"Urshela, Gio",570482,1.9228034412629906,1.9228034412629906,1.7650515170686116,,0.15775192419437944,,,,,5914,0,902,15,4781,216,0,0,0
"Duran, Ezequiel",677649,1.7292956697026423,1.7292956697026423,1.4821559133471998,0.9043859273136577,-0.657246170958215,,,,,5474,0,750,386,1459,1532,1178,3,156
"Gurriel Jr., Lourdes",666971,1.5479716917541473,1.5479716917541473,0.5553233897336334,0.9926483020205135,,,,,,8536,0,6,0,0,0,8530,0,0
"Sánchez, Jesús",660821,1.4190209624893941,1.4190209624893941,1.408811831720783,0.010209130768610623,,,,,,8401,0,0,0,0,0,939,363,7099
