"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Tucker, Kyle",663656,-0.0010995784729916636,-0.0010995784729916636,-2.092539069592004,2.091439491119012,,,,,,3005,0,0,0,0,0,0,0,3005
"De La Cruz, Elly",682829,-0.03173824882853338,-0.03173824882853338,-2.3477649704782486,0.08919794569503177,2.226828775954682,,,,,4146,0,0,0,0,4146,0,0,0
"Naylor, Bo",666310,-0.07778052632563137,,,,,-0.07778052632563137,-2.711540142133683,1.5359700821061175,1.0977895337019339,2836,2836,0,0,0,0,0,0,0
"Barger, Addison",680718,-0.2078823836581612,-0.2078823836581612,-3.644655176852475,3.963028918333405,-0.5262561251390923,,,,,3079,0,0,0,1840,0,0,0,1239
"Rengifo, Luis",650859,-0.24450187666867662,-0.24450187666867662,-3.4461080981361483,0.921634886164237,2.2799713353032356,,,,,3522,0,0,1756,1703,6,8,6,43
"Trevino, Jose",624431,-0.2594507382450076,,,,,-0.2594507382450076,1.5401930179357692,-1.0211037918531614,-0.7785399643276161,2177,2170,0,0,0,0,0,0,0
"Vázquez, Christian",543877,-0.269289767677086,,,,,-0.269289767677086,-2.843404847047473,1.2121305302654626,1.3619845491049256,1557,1557,0,0,0,0,0,0,0
"Turang, Brice",668930,-0.299459790733003,-0.299459790733003,-2.351329026035694,0.5142495012666267,1.537619734036062,,,,,3987,0,0,3962,0,25,0,0,0
"Fitzgerald, Tyler",666149,-0.33314237860640283,-0.33314237860640283,-0.33125743581237355,-0.0004421181324352775,-0.0014428246615958429,,,,,1748,0,0,1685,0,0,0,0,63
"McNeil, Jeff",643446,-0.38714804817175624,-0.38714804817175624,0.8972050113559551,-0.4237412606785064,-0.8606117988492052,,,,,2610,0,6,1727,0,0,178,627,72
"Mullins, Cedric",656775,-0.44444854713809573,-0.44444854713809573,3.9348205445753566,-4.379269091713453,,,,,,3193,0,0,0,0,0,0,3193,0
"Stowers, Kyle",669065,-0.4473960861100832,-0.4473960861100832,-2.4260000525385133,1.9786039664284316,,,,,,2571,0,0,0,0,0,1625,171,775
"Beck, Jordan",687597,-0.46660437858911413,-0.46660437858911413,-1.6107858458323112,1.144181467243199,,,,,,3478,0,0,0,0,0,3472,6,0
"Tauchman, Mike",643565,-0.47303878968478563,-0.47303878968478563,-0.27689508834218846,-0.19614370134259693,,,,,,1713,0,0,0,0,0,0,0,1713
"Baty, Brett",683146,-0.5576784452738516,-0.5576784452738516,0.6551071499215181,-0.05266620070678432,-1.160119394488586,,,,,2838,0,0,1119,1719,0,0,0,0
"Guerrero Jr., Vladimir",665489,-0.6715724823851598,-0.6715724823851598,-1.4703869368789853,,0.7988144544938252,,,,,3380,0,3380,0,0,0,0,0,0
"Nimmo, Brandon",607043,-0.7229244764505159,-0.7229244764505159,-0.6099353915629692,-0.11298908488754571,,,,,,3851,0,0,0,0,0,3806,45,0
"Herrera, Jose",645444,-0.7240767405413333,,,,,-0.7240767405413333,-0.46449137681079317,-1.330786104445547,1.0712007407150061,1466,1460,0,0,0,0,0,0,0
"Harper, Bryce",547180,-0.7529778626747758,-0.7529778626747758,0.47493980155320215,,-1.2279176642279777,,,,,3398,0,3398,0,0,0,0,0,0
"McKinstry, Zach",656716,-0.8349958515008883,-0.8349958515008883,-0.8304641945863813,0.37105565942147195,-0.3755873163359774,,,,,3443,0,6,93,1735,744,264,0,600
"Marte, Ketel",606466,-0.8504504455152484,-0.8504504455152484,0.9815313244900661,-0.02962381736044543,-1.8023579526448685,,,,,2634,0,0,2634,0,0,0,0,0
"Schanuel, Nolan",694384,-0.8711155192171385,-0.8711155192171385,-1.6655807337702373,,0.794465214553099,,,,,3393,0,3393,0,0,0,0,0,0
"Shaw, Matt",807713,-0.8923393810330009,-0.8923393810330009,-0.7734345473293099,,-0.11890483370369018,,,,,3048,0,0,18,3030,0,0,0,0
"Baldwin, Drake",686948,-0.9096621350774576,,,,,-0.9096621350774576,-1.0242150463884316,-1.560271499680389,1.6748244109913615,2279,2279,0,0,0,0,0,0,0
"Naylor, Josh",647304,-0.930497763679135,-0.930497763679135,0.410026559768613,,-1.340524323447748,,,,,3243,0,3243,0,0,0,0,0,0
"Soderstrom, Tyler",691016,-0.9993703079986292,-0.9993703079986292,0.6378618680920999,-1.547955549677873,-0.08927662641285697,,,,,3785,0,1182,0,0,0,2603,0,0
"Jones, Nolan",666134,-1.0451382930592215,-1.0451382930592215,-4.90487572581812,3.8597374327588976,,,,,,2676,0,0,0,0,0,231,580,1865
"Henderson, Gunnar",683002,-1.0705120482587236,-1.0705120482587236,-2.313765835615709,-0.025872350175222773,1.269126137532207,,,,,3749,0,0,0,0,3749,0,0,0
"Rice, Ben",700250,-1.187513370724097,0.6797297773821438,0.701738635132809,,-0.022008857750664714,-1.86724314810624,-1.1159156016124876,-0.30459942384449545,-0.44672812264925904,1799,689,1110,0,0,0,0,0,0
"Torkelson, Spencer",679529,-1.2103294784366643,-1.2103294784366643,-1.7509778959595692,,0.5406484175229064,,,,,3816,0,3816,0,0,0,0,0,0
"Burger, Jake",669394,-1.3029006423079794,-1.3029006423079794,-1.1581713368393363,-0.002855525939371868,-0.14187377952927066,,,,,2270,0,2270,0,0,0,0,0,0
"Riley, Austin",663586,-1.308894933924046,-1.308894933924046,-0.8971385147103872,0.004378220044772867,-0.41613463925843236,,,,,2666,0,0,0,2666,0,0,0,0
"Frazier, Adam",624428,-1.3202059598793903,-1.3202059598793903,-0.2705052544916158,0.037723209313418715,-1.0874239147011941,,,,,2742,0,0,1803,107,0,678,0,154
"Donovan, Brendan",680977,-1.387785796890937,-1.387785796890937,-0.8484547432300656,0.0234719105898948,-0.5628029642507674,,,,,3006,0,0,2427,0,123,456,0,0
"Benson, Will",666181,-1.4012372682480145,-1.4012372682480145,-0.19044453761606323,-1.2107927306319484,,,,,,1719,0,0,0,0,0,667,258,794
"Mayo, Coby",691723,-1.4787364485649912,-1.4787364485649912,-1.4414068838901646,,-0.03732956467482629,,,,,1816,0,1759,0,57,0,0,0,0
"Cronenworth, Jake",630105,-1.4884470310044886,-1.4884470310044886,-0.33081282371169346,0.7480983896188413,-1.9057325969116379,,,,,3409,0,261,2911,0,237,0,0,0
"Sheets, Gavin",657757,-1.4984141112356228,-1.4984141112356228,-2.747066280992574,1.2686766100261593,-0.020024440269208146,,,,,1735,0,298,0,0,0,1437,0,0
"Higashioka, Kyle",543309,-1.644015514732847,,,,,-1.644015514732847,3.020676840788848,-3.898192653945608,-0.7664997015760868,1813,1813,0,0,0,0,0,0,0
"Freeman, Freddie",518692,-1.7176696093536037,-1.7176696093536037,-1.8233686174676678,,0.10569900811406491,,,,,3717,0,3717,0,0,0,0,0,0
