"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Darvish, Yu","506433","2365","2273","2522","2750","1778","2511","1144",,"2738",
"Milner, Hoby","571948","1992","1966",,,"1633",,,,"1808",
"McCullers Jr., Lance","621121","2291","2237","2527","2880","1845","2994",,,,
"Dreyer, Jack","676263","2395",,,"2356",,"2537",,,,
"Sheehan, Emmet","686218","2444",,,"2352","1141","2638",,,,
"Sands, Cole","663485","2353","2246","2438",,,"2939","1531",,,
"Bachar, Lake","669199","2717",,,"2657",,,"1299",,"2871",
"Francis, Bowden","670102","2254","2132",,"2434",,"2195","1017",,,
"Peralta, Wandy","593974","2092","2112",,"2243","2165",,,,,
"Vest, Will","676684","2255","2143",,"2748","1660",,,,,
"Leasure, Jordan","673929","2382","2303",,"2443",,,"908",,,
"Eflin, Zach","621107","2173","2075","2227",,"1646","2484",,,"2394",
"Hoffman, Jeff","656546","2562","2465",,"2738",,,"1645",,,
"Rocker, Kumar","677958","2193","2149","2221","2183","1629","2271",,,,
"Harris, Hogan","663687","2301",,"2216","2151","2112","2630",,,"2436",
"Armstrong, Shawn","542888","2344","2136","2468",,,,,,"2615","2683"
"Suter, Brent","608718","2250","2186",,"2315","1688",,,,,
"Williams, Devin","642207","2368",,"2448",,"2742",,,,,
"Phillips, Tyler","663969","2236","2056",,,,"2559","1257",,"2461",
"Keller, Brad","641745","2382","2189",,"2637","1725",,,,"2715",
"De Los Santos, Enyel","660853","2288",,,"2213","1914",,,,,
"Doval, Camilo","666808",,"2421","2541","2627",,,,,,
"Lee, Dylan","669276","2356",,,"2134","1726",,,,,
"Baker, Bryan","641329","2288",,,"2384","1872",,,,,
"Ashcraft, Braxton","677952","2432","2383",,"2620","2109","2762",,,,
"Domínguez, Seranthony","622554","2364","2280",,,,"2482","844",,"2526",
"Zerpa, Angel","672582","2003","2062",,"2609","1623",,,,,
"Gómez, Yoendrys","672782","2468","2311","2526","2536","1902","2562",,,"2669",
"Manaea, Sean","640455","2050","1969",,,"1572",,,,"2286",
"Vargas, Carlos","672841","2146","2163","2246","2378","1724",,,,,
"Buttó, José","676130","2411","2176",,"2644","1900",,,,"2561",
"Jax, Griffin","643377","2474","2452","2687",,"1787","3067",,,"3099",
"Sterner, Justin","686993","2375",,"2701",,,,,,"2738",
"Wrobleski, Justin","680736","2422","2130","2444","2440","1321","2402",,,,
"Lynch IV, Daniel","663738","2234","2093",,"2290","1642","2257",,,,
"Montero, Rafael","606160","2385","2300",,"2391",,,"1618",,,
"Adam, Jason","592094","2586",,"2516","2603","2040",,,,"2573",
"Banks, Tanner","621383","2177","2051",,"2359","1797",,,,"2368",
"Detmers, Reid","672282","2165","2089",,"2332","1623","2488",,,,
"Ragans, Cole","666142","2573",,"2586","2652","2070","2462",,,,
"Suarez, Robert","663158","2402","2382","2254",,"1859",,,,,
"Mejia, Juan","675848","2580",,,"2843",,,,,,
"Duran, Jhoan","661395","2108",,,,,"2646","1825",,"2609",
"Kerkering, Orion","689147","2414","2295",,,,,,,"2897",
"Weissert, Greg","669711","2365","2156",,"2577","1582","2801",,,"2928",
"Pagán, Emilio","641941","2614",,"2412",,,,"970",,,
"Díaz, Edwin","621242","2327",,,"2260","1637",,,,,
"Varland, Louis","686973","2167","2092",,"2424","1742","2398",,,,
"Banda, Anthony","607455","2189","2095",,"2345","1636",,,,,
"Stanek, Ryne","592773","2349","1211",,"2465",,,"961",,"2572",
"Matsui, Yuki","673513","2439","2211",,"2653",,"2679","1171",,"2870",
"Akin, Keegan","669211","2371",,,"2582","2067",,,,,
"Alcala, Jorge","660896","2482","2227",,"2482","2400","2598",,,,
"Faucher, Calvin","676534","2471","2305","2862",,"1816","2994",,,"3005",
"Hurter, Brant","676428","2120","2134",,,"1599",,,,"2684",
"Okert, Steven","595345","2226",,"2328","2484","2596",,,,,
"Gaddis, Hunter","683769","2303",,,"2297","2068",,,,,
"Weaver, Luke","596133","2435",,"2491","2357","1971",,,,,
"Schreiber, John","670167","2257","2221","2477",,"1180",,,,"2580",
"King, Bryan","687911","2123","2002",,,"1599","2311",,,"2308",
"Estévez, Carlos","608032","2164",,,"2244","1617",,,,,
"Koenig, Jared","657649","2439","2354","2435",,"1743","2551",,,,
"Ferguson, Caleb","657571","2307","2289","2633",,,,,,,"3012"
"Meyer, Max","676974","2513","2485",,"2620","1784",,,,"2461",
"Ashcraft, Graham","668933",,,"2599","2950",,,,,,
"Kahnle, Tommy","592454","2190",,,"2251","1282",,,,,
"Muñoz, Andrés","662253","2279","2048",,"2356","1496",,,,,
"Ashby, Aaron","676879","2263","2151",,"2661","1902","2738",,,,
"Blalock, Bradley","687134","2099",,"2348","2524",,"2511","1322",,,
"Junis, Jakob","596001","2144","2122",,"2480","1313",,,,,
"Soto, Gregory","642397","2265","2312",,"2453",,,"1793",,"2577",
"Zeferjahn, Ryan","666171","2213","1878","2394","2497",,,,,"2688","2730"
"Snell, Blake","605483","2453",,,"2314","1793","2517",,,,
"Bednar, David","670280","2442",,,,,"2455","1702",,,
"Vesia, Alex","681911","2468",,,"2380","1713",,,,,
"Chivilli, Angel","683409","2308",,,"2160","1848",,,,,
"Walker, Ryan","676254",,"2368",,"2696",,,,,,
"Yarbrough, Ryan","642232","1935","1832","2105",,"1913",,,,"2256",
"Burke, Brock","656271","2259","2059",,"2220","2115",,,,,
"Brazobán, Huascar","623211","2207","2260","2346",,"1990",,,,,
"Burnes, Corbin","669203",,"2496","2662","2849","2176","2811",,,,
"Maton, Phil","664208",,"2334","2592",,,"3181",,,"2679",
"Santana, Dennis","642701","2439","2391","2549","2484","2224",,,,,
"Allard, Kolby","663465","2029","2005","2039",,"1547","1882",,,,
"Gomber, Austin","596295","2101",,"2385","2354","1661","2530","910",,,
"Morejon, Adrian","670970","2482","2419","2579","2847","1328",,,"807",,
"Seymour, Ian","693855","2215","2026","2154",,"1713","1972",,,"2146",
"Strahm, Matt","621381","2531","2438","2552","2690","1531",,,,,
"Romero, JoJo","668941","2313","2174","2233","2816","1387",,,,,"2753"
"Ferguson, Tyler","621053","2307","2155","2389",,"1585",,,,"2536",
"Fairbanks, Pete","664126","2433",,"2457","2534","1966",,,,,
"Cano, Yennier","666974","2197","2063","2146","2461","1850",,"1468",,,
"Garrett, Reed","657585","2376","2285","2501",,,,"1531",,"2815",
"Topa, Justin","623437",,"2182","2330",,"1843",,,,"2632",
"Helsley, Ryan","664854","2536",,"2424","2400",,"2514",,,,
"Webb, Jacob","657097","2469",,,,"2261",,,,"2600",
"Rogers, Tyler","643511",,"1973",,"2425",,,,,,
"Wilson, Steven","621051","2491",,"2800",,"1431",,,,"2648",
"Miller, Mason","695243","2552",,,"2396","1965",,,,,
"Garcia, Robert","676395","2251",,,"2403","1687",,,,,
"Gil, Luis","661563","2468",,,"2654","1732",,,,,
"Johnson, Pierce","572955","2354",,"2579",,,"2914",,,,
"Henry, Cole","669371","2538","2340","2444",,"2251",,,,"2614",
"Woodruff, Brandon","605540","2343","2289","2373",,"1908","2549",,,"2429",
"Svanson, Matt","694335","2257","2263","2282",,,,,,"2261",
"Iglesias, Raisel","628452","2344","2332",,"2634","1999",,,,,
"Erceg, Lucas","668674","2145","1910",,"2063","1933",,,,,
"Bird, Jake","656234","2239","2123","2475",,,"2901",,,"2712",
"Hanifee, Brenan","669724","2116","2043",,"2217","1686",,,,,
"Young, Brandon","687064","2211",,"2067","2063","1773","2722","1537",,,
"Ureña, José","570632","2142","2176",,"2227","1856",,"1320",,,
"Boyle, Joe","671212","2579",,,"2612",,,"1988",,"2564",
"Bummer, Aaron","607481","2280","2147",,,,"2371",,,"2431",
"Dobbins, Hunter","690928","2371","2242",,"2568",,"2482","1462",,"2535",
"Speier, Gabe","642100","2234","2088",,"2185",,,,,,
"Vodnik, Victor","680767","2314",,"2305","2365","1898",,,,,
"Chapman, Aroldis","547973","2448","2434",,"2317",,,"1276",,,
