"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Keaschall, Luke","807712","NA","4","Second Baseman","208","0","208","0","0","0","0","0","208","0","78.3",,"74.7",,,,,,"74.7",,"74.7"
"Kim, Hyeseong","808975","NA","4","Second Baseman","216","0","167","0","18","0","31","0","185","31","93.4",,"83.6",,,,,,"84.4",,"84.4"
"Berti, Jon","542932","NA","5","Third Baseman","80","0","34","46","0","0","0","0","80","0","79.3",,,,,,,,"76.3",,"76.3"
"Suárez, Eugenio","553993","NA","5","Third Baseman","482","3","0","479","0","0","0","0","479","0","86.3",,,"82.9",,,,,"82.9",,"82.9"
"Urshela, Gio","570482","NA","5","Third Baseman","128","12","0","116","0","0","0","0","116","0","81.5",,,"79.1",,,,,"79.1",,"79.1"
"Arenado, Nolan","571448","NA","5","Third Baseman","265","0","0","265","0","0","0","0","265","0","87.4",,,"83.4",,,,,"83.4",,"83.4"
"Hernández, Enrique","571771","NA","5","Third Baseman","243","96","55","61","0","15","16","0","116","31","96.7",,,,,,,,"82.7",,"82.7"
"Muncy, Max","571970","NA","5","Third Baseman","234","0","0","234","0","0","0","0","234","0","85.3",,,"84.2",,,,,"84.2",,"84.2"
"Machado, Manny","592518","NA","5","Third Baseman","343","0","0","343","0","0","0","0","343","0","89.2",,,"86.3",,,,,"86.3",,"86.3"
"Urías, Ramón","602104","NA","5","Third Baseman","283","7","99","177","0","0","0","0","276","0","81.4",,"75.3","80.1",,,,,"79.6",,"79.6"
"Ramírez, José","608070","NA","5","Third Baseman","337","0","0","337","0","0","0","0","337","0","88.6",,,"83.4",,,,,"83.4",,"83.4"
"Bregman, Alex","608324","NA","5","Third Baseman","278","0","0","278","0","0","0","0","278","0","83.7",,,"82.3",,,,,"82.3",,"82.3"
"Andujar, Miguel","609280","NA","5","Third Baseman","125","2","0","51","0","63","0","9","51","72","96.6",,,,,"92",,,,"92.5","92.5"
"Newman, Kevin","621028","NA","5","Third Baseman","154","7","21","47","79","0","0","0","147","0","82.8",,,,"80.3",,,,"79.9",,"79.9"
"Ibáñez, Andy","628451","NA","5","Third Baseman","125","5","13","107","0","0","0","0","120","0","76.3",,,"75",,,,,"75",,"75"
"McMahon, Ryan","641857","NA","5","Third Baseman","392","0","0","392","0","0","0","0","392","0","87",,,"85.6",,,,,"85.6",,"85.6"
"Rosario, Amed","642708","NA","5","Third Baseman","129","0","65","60","1","0","0","3","126","3","85.2",,,,,,,,"84.4",,"84.4"
"Chapman, Matt","656305","NA","5","Third Baseman","335","0","0","335","0","0","0","0","335","0","89.9",,,"87.8",,,,,"87.8",,"87.8"
"McKinstry, Zach","656716","NA","5","Third Baseman","451","1","28","168","148","36","0","70","344","106","94.8",,,"85.9","85.8",,,"88.7","85.7","91.2","91.2"
"DeJong, Paul","657557","NA","5","Third Baseman","198","3","59","86","50","0","0","0","195","0","83",,,"81.1",,,,,"80.7",,"80.7"
"Moncada, Yoán","660162","NA","5","Third Baseman","157","0","0","157","0","0","0","0","157","0","82.9",,,"80.2",,,,,"80.2",,"80.2"
"Riley, Austin","663586","NA","5","Third Baseman","259","0","0","259","0","0","0","0","259","0","85.6",,,"83.3",,,,,"83.3",,"83.3"
"Hayes, Ke'Bryan","663647","NA","5","Third Baseman","432","0","0","432","0","0","0","0","432","0","81.7",,,"79.7",,,,,"79.7",,"79.7"
"Bohm, Alec","664761","NA","5","Third Baseman","369","46","0","323","0","0","0","0","323","0","83.8",,,"81.8",,,,,"81.8",,"81.8"
"Vientos, Mark","668901","NA","5","Third Baseman","194","17","0","177","0","0","0","0","177","0","87.9",,,"85.4",,,,,"85.4",,"85.4"
"Lewis, Royce","668904","NA","5","Third Baseman","183","0","0","183","0","0","0","0","183","0","85.4",,,"83.6",,,,,"83.6",,"83.6"
"Rojas, Josh","668942","NA","5","Third Baseman","163","0","94","65","0","4","0","0","159","4","88",,"78.6",,,,,,"84.9",,"84.9"
"Espinal, Santiago","669289","NA","5","Third Baseman","205","7","67","106","5","10","0","10","178","20","90.4",,,"80.2",,,,,"79.6",,"79.6"
"Gorman, Nolan","669357","NA","5","Third Baseman","251","21","118","112","0","0","0","0","230","0","84.3",,"78.3","83.3",,,,,"82.4",,"82.4"
"Wilson, Will","669717","NA","5","Third Baseman","75","0","46","29","0","0","0","0","75","0","82",,,,,,,,"79.8",,"79.8"
"Mastrobuoni, Miles","670156","NA","5","Third Baseman","137","3","44","45","0","18","0","27","89","45","96.6",,,,,,,,"85.8",,"85.8"
"Paredes, Isaac","670623","NA","5","Third Baseman","252","0","0","252","0","0","0","0","252","0","84.1",,,"79.5",,,,,"79.5",,"79.5"
"Garcia, Maikel","672580","NA","5","Third Baseman","453","0","54","333","58","0","7","1","445","8","94.5",,,"89.1",,,,,"88.7",,"88.7"
"Peraza, Oswald","672724","NA","5","Third Baseman","246","42","42","118","44","0","0","0","204","0","92.5",,,"89.5",,,,,"89.1",,"89.1"
"Jung, Josh","673962","NA","5","Third Baseman","299","0","0","299","0","0","0","0","299","0","90.7",,,"83.5",,,,,"83.5",,"83.5"
"Westburg, Jordan","676059","NA","5","Third Baseman","207","0","82","125","0","0","0","0","207","0","86.9",,"84.1","79.9",,,,,"81.9",,"81.9"
"Clement, Ernie","676391","NA","5","Third Baseman","487","32","208","167","80","0","0","0","455","0","83.1",,"75.5","81.2","79.5",,,,"80.3",,"80.3"
"Tena, José","677588","NA","5","Third Baseman","131","0","18","113","0","0","0","0","131","0","88.1",,,"86.8",,,,,"86.5",,"86.5"
"Mauricio, Ronny","677595","NA","5","Third Baseman","134","0","27","99","8","0","0","0","134","0","91.7",,,"88.6",,,,,"88.2",,"88.2"
"Alexander, Blaze","677942","NA","5","Third Baseman","264","0","83","168","0","2","11","0","251","13","95.4",,"76.1","86.8",,,,,"86.3",,"86.3"
"Vargas, Miguel","678246","NA","5","Third Baseman","379","202","0","175","0","2","0","0","175","2","85","74.1",,"83.3",,,,,"83.3",,"83.3"
"Mead, Curtis","678554","NA","5","Third Baseman","194","95","50","49","0","0","0","0","99","0","77.9",,,,,,,,"76.6",,"76.6"
"Barger, Addison","680718","NA","5","Third Baseman","268","0","0","136","0","0","0","132","136","132","98.8",,,"91.6",,,,"96.5","91.6","96.5","96.5"
"Norby, Connor","681393","NA","5","Third Baseman","179","0","0","179","0","0","0","0","179","0","86.1",,,"84.7",,,,,"84.7",,"84.7"
"Capra, Vinny","681962","NA","5","Third Baseman","118","0","10","49","59","0","0","0","118","0","81",,,,,,,,"80.2",,"80.2"
"Baty, Brett","683146","NA","5","Third Baseman","444","0","246","198","0","0","0","0","444","0","85.8",,"78.5","82.4",,,,,"81.2",,"81.2"
"Pauley, Graham","688363","NA","5","Third Baseman","155","16","12","127","0","0","0","0","139","0","83.9",,,"81.8",,,,,"81.8",,"81.8"
"Freeland, Alex","690976","NA","5","Third Baseman","97","0","45","52","0","0","0","0","97","0","89.3",,,,,,,,"84.5",,"84.5"
