"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Marlowe, Cade","687799","2024",,,,,,,,,2,,,,,,,55,,,,
"Rivera, Emmanuel","656896","2024",,,,,,,,,50,,,,,,57,33,32,,,
"Madris, Bligh","676632","2024",,,,,,,,,39,,,,,,,43,,,,
"Crawford, J.P.","641487","2024",41,19,24,31,67,27,35,20,67,39,41,90,75,99,37,33,67,52,33,48
"Winker, Jesse","608385","2024",62,45,35,31,90,45,48,40,50,35,55,96,78,96,65,19,2,17,66,48
"Springer, George","543807","2024",56,37,52,54,62,76,63,20,66,35,69,70,44,82,65,72,43,52,53,39
"Judge, Aaron","592450","2024",100,98,100,100,100,100,100,100,99,100,35,100,15,97,75,36,7,99,44,1
"Rice, Ben","700250","2024",,,,,,,,,70,,,,,,2,52,,,,
"Hamilton, David","666152","2024",,,,,,,,,44,,,,,,46,94,40,,,
"Grossman, Robbie","543257","2024",,,,,,,,,26,,,,,,46,60,,,,
"Adrianza, Ehire","501303","2024",,,,,,,,,6,,,,,,,28,,,,
"Yelich, Christian","592885","2024",,,,,,,,,88,,,,,,39,80,,,,
"Azocar, José","640492","2024",,,,,,,,,39,,,,,,67,91,,,,
"Aranda, Jonathan","666018","2024",,,,,,,,,65,,,,,,,14,,,,
"Burleson, Alec","676475","2024",66,86,69,56,54,58,35,60,72,60,96,19,81,14,70,10,4,38,91,29
"Fraley, Jake","641584","2024",15,50,6,2,32,3,6,1,43,3,70,31,69,28,82,77,68,50,10,72
"Hampson, Garrett","641658","2024",,,,,,,,,48,,,,,,41,99,93,,,
"Laureano, Ramón","657656","2024",,,,,,,,,67,,,,,,89,63,7,,,
"Fortes, Nick","663743","2024",,,,,,,,,50,,,,,,,31,,,,
"Yastrzemski, Mike","573262","2024",29,10,48,67,14,60,72,70,38,55,22,51,41,80,66,44,47,32,68,18
"Wade, Tyler","642180","2024",,,,,,,,,15,,,,,,28,85,,,,
"McCray, Grant","687529","2024",,,,,,,,,46,,,,,,99,93,,,,
"Higashioka, Kyle","543309","2024",,,,,,,,,29,,,,,,,9,,,,
"Frelick, Sal","686217","2024",9,51,2,1,40,1,1,1,24,1,90,42,98,68,68,94,90,3,92,86
